AEP,Mass,Fatigue,Method
230.25743760911308,9724.48031895558,125.49851877945235,GA
230.1751863023289,9783.282745533774,122.51629782054357,GA
230.1332022299695,9833.614505708381,121.32964743758167,GA
230.11764459181197,9684.44570949526,125.3413372898159,GA
230.0956940081623,9747.864531315476,123.29079232819893,GA
230.03725050539785,9871.115029393883,120.22924984570801,GA
229.9957708434157,9443.391930551405,131.4756256986469,GA
229.93906773643872,9603.705892487773,127.04891105534203,GA
229.85805082598932,9790.235169472426,122.21831482836583,GA
229.76205956277258,9759.551739859045,123.07291319522426,GA
229.7407381347668,9790.876444148946,121.82891932382164,GA
229.7251637423448,9483.15280465593,129.96497912284735,GA
229.71511954426447,9864.201136655924,119.9767950678832,GA
229.58526684251282,9521.991946174754,129.94466025367518,GA
229.57114558926307,9341.45712290671,133.80111778884265,GA
229.5577830881144,9356.06956065293,133.6006141486925,GA
229.54118368417764,9633.645518983156,125.91316861666081,GA
229.49299115045434,9345.127294265685,133.74856922370873,GA
229.45988781606368,9755.11548504854,122.47370027370226,GA
229.45441829924448,9723.197419975557,123.05856295352226,GA
229.39497540726256,9562.70109608015,129.11594968029323,GA
229.38348139563783,9686.288719392849,124.36246961536895,GA
229.3401227532908,9398.702086585457,131.80734657947488,GA
229.32975190593592,9365.91805722998,132.98733503381084,GA
229.3227679778286,9435.949833788034,130.72884838272958,GA
229.2841196943018,9732.85984686027,122.93879322348559,GA
229.1678024787184,9590.456476804831,126.25206797573317,GA
229.053204462387,9505.659636105882,129.63120229306458,GA
229.03069238572994,9504.537457860195,129.8107366658383,GA
229.0094865501753,9682.27474304553,123.52645865192018,GA
228.96494587067394,9466.277862449364,130.49272968412373,GA
228.95672638394745,9844.21427441104,119.26665359723894,GA
228.90102000844377,9635.767048852455,124.92053721930748,GA
228.90035456525192,9562.13422558951,126.70225370225215,GA
228.88441243728815,9711.148494634597,123.02101432786559,GA
228.84592645636423,9388.695916409773,131.38681518189236,GA
228.82386446309926,9419.30256473003,130.47203753528157,GA
228.82087743052844,9448.71266866915,130.1837044078447,GA
228.78262892625003,9546.909443285285,126.94824150502863,GA
228.71585269727862,9500.160021431886,128.6868902466699,GA
228.67090190453777,9604.54180765277,125.19814740632962,GA
228.64991288731272,9445.958726358771,129.56825320057766,GA
228.6196637365876,9647.345729466535,124.51464366811564,GA
228.61293401453966,9829.365264960596,119.23803963545146,GA
228.58934507329496,9640.948750972255,124.0488471912272,GA
228.56098819104463,9471.633210368194,128.65864864570975,GA
228.4773158761993,9772.398168836442,120.83664158188117,GA
228.45377074431948,9588.776775295992,126.24972652085636,GA
228.41116690767922,9349.323874627094,133.41052473003626,GA
228.33627962981498,9749.404217310157,122.75553389379037,GA
228.30040666098327,9271.079588155844,133.9869168117962,GA
228.24471696243208,9493.349586841372,127.66103919660709,GA
228.23415503752537,9327.67379247728,132.70450182319078,GA
228.22647206286354,9524.08348734432,127.14310103525635,GA
228.226332753445,9326.512921864816,132.69290501484386,GA
228.21878836788142,9698.805803547833,122.01518439188904,GA
228.20299090285098,9346.938628166434,132.19403203536586,GA
228.1796794427008,9578.23139643903,125.546893086465,GA
228.16318437236916,9346.123377185704,132.1594446954198,GA
228.15616315982516,9698.55703259814,122.47283757421351,GA
228.1539533768508,9530.395645986506,126.77586653881023,GA
228.04930038657054,9240.162652609199,134.69253407186767,GA
228.03323835014837,9322.566667052248,132.52454032583742,GA
227.99927564830725,9490.448428893213,127.38895643926173,GA
227.95598682204877,9413.816763836232,129.68627742673618,GA
227.93213670726843,9431.267556034649,129.21109804331485,GA
227.9311029929567,9499.5528256001,127.06194575262786,GA
227.89171781747686,9442.058947416417,128.76068533522115,GA
227.87430263257588,9692.232968627352,122.23341397932658,GA
227.87093367385492,9785.161655990563,119.54499892824211,GA
227.8593498631269,9580.835393748133,125.04954053926424,GA
227.825050028606,9233.301530732557,134.9410043365021,GA
227.77266194731942,9567.875760344667,125.35317359407439,GA
227.7713013834143,9439.644300263451,128.66192548198273,GA
227.7641480775811,9296.328822681924,133.01624518956356,GA
227.72014898943746,9655.791282990373,123.17189766730895,GA
227.70719248316092,9784.078986012822,119.99969496174688,GA
227.7030366715955,9287.861786124415,132.68220975152818,GA
227.6943499767285,9502.590265419192,126.64129007229319,GA
227.67887187635918,9500.430853098133,126.66071426090903,GA
227.6509421490134,9223.667655571882,134.5190592109315,GA
227.63760871194447,9780.230651459133,119.51082126116845,GA
227.63752921845543,9815.741203344463,118.25199937962572,GA
227.63443892584257,9425.106545070332,128.9580405203779,GA
227.61858570888538,9498.823465970525,126.59643558954049,GA
227.60868085702762,9575.58270422052,124.84397818429801,GA
227.59634950867272,9811.59779479388,118.30193684705972,GA
227.58428498434066,9778.07265850772,119.48578314095761,GA
227.5668444266724,9619.83617358748,123.25517939853762,GA
227.54759014072178,9698.264185044032,121.9133024825168,GA
227.51262017400015,9592.780410402498,123.85059525672459,GA
227.4622428352677,9632.86104485011,122.80259571186501,GA
227.40989191004533,9345.563455975425,131.8845794391608,GA
227.39687987957748,9275.051969754442,133.00464714685378,GA
227.39429431436866,9749.699148238555,120.45993340754806,GA
227.38842290853597,9345.122303987895,131.86590371192815,GA
